type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
C,10981,2,0.75,8235,0.6794227912569852,0.6490384615384616,0.6958762886597938
C,10981,3,0.75,8235,0.6746346063177746,0.6490384615384616,0.6887755102040817
C,10981,1,1.0,10981,0.6722818305552118,0.6538461538461539,0.6834170854271356
C,10981,2,1.0,10981,0.6722354813046938,0.6490384615384616,0.6852791878172588
C,10981,3,1.0,10981,0.6747572815533981,0.6682692307692307,0.6813725490196079
C,10981,1,1.5,16471,0.6818120184173136,0.7019230769230769,0.6790697674418604
C,10981,2,1.5,16471,0.6844585837162719,0.6730769230769231,0.693069306930693
C,10981,3,1.5,16471,0.689313067043714,0.6875,0.6941747572815534
C,10981,1,2.0,21962,0.6796116504854369,0.6730769230769231,0.6862745098039216
C,10981,2,2.0,21962,0.6863592104098433,0.7211538461538461,0.6787330316742082
C,10981,3,2.0,21962,0.6841012574610139,0.7115384615384616,0.6788990825688074
C,10981,1,3.0,32943,0.6887262424743241,0.7259615384615384,0.6801801801801802
C,10981,2,3.0,32943,0.6863592104098433,0.7211538461538461,0.6787330316742082
C,10981,3,3.0,32943,0.6857360793287567,0.7403846153846154,0.6724890829694323
C,10981,1,4.0,43924,0.6897571966440366,0.7644230769230769,0.6708860759493671
C,10981,2,4.0,43924,0.6929519483284832,0.75,0.6782608695652174
C,10981,3,4.0,43924,0.6884319981094176,0.7355769230769231,0.6769911504424779
C,10981,1,5.0,54905,0.695480697023989,0.75,0.6812227074235808
C,10981,2,5.0,54905,0.6948744838046486,0.7644230769230769,0.676595744680851
C,10981,3,5.0,54905,0.6943964775485256,0.7740384615384616,0.6736401673640168
C,10981,1,6.0,65886,0.695480697023989,0.75,0.6812227074235808
C,10981,2,6.0,65886,0.6978257269264436,0.7548076923076923,0.6826086956521739
C,10981,3,6.0,65886,0.6884319981094176,0.7355769230769231,0.6769911504424779
C,10981,1,7.0,76867,0.6895068211893021,0.7692307692307693,0.6694560669456067
C,10981,2,7.0,76867,0.6915508021390374,0.7788461538461539,0.6694214876033058
C,10981,3,7.0,76867,0.7023050863518987,0.7692307692307693,0.6837606837606838
C,10981,1,8.0,87848,0.6920777279521675,0.7692307692307693,0.6722689075630253
C,10981,2,8.0,87848,0.6923186344238975,0.7644230769230769,0.673728813559322
C,10981,3,8.0,87848,0.6869300911854103,0.7692307692307693,0.6666666666666666
C,10981,1,9.0,98829,0.6869300911854103,0.7692307692307693,0.6666666666666666
C,10981,2,9.0,98829,0.6920777279521675,0.7692307692307693,0.6722689075630253
C,10981,3,9.0,98829,0.69586855578045,0.7932692307692307,0.6707317073170732
C,10981,1,10.0,109810,0.6943964775485256,0.7740384615384616,0.6736401673640168
C,10981,2,10.0,109810,0.6785268414481898,0.8125,0.65
C,10981,3,10.0,109810,0.6915508021390374,0.7788461538461539,0.6694214876033058
